,Year,coder1-encodings,Consistency,X,Y
0,1990,Surface/Volume,1,0,0
1,1990,Surface/Volume,1,0,0
2,1990,Surface/Volume,1,2,0
3,1990,Surface/Volume,1,4,0
4,1990,Surface/Volume,1,6,0
5,1990,Surface/Volume,1,8,0
6,1990,Surface/Volume,1,10,0
7,1990,Surface/Volume,1,12,0
8,1990,Surface/Volume,1,14,0
9,1990,Surface/Volume,1,16,0
10,1990,Surface/Volume,1,18,0
11,1990,Surface/Volume,1,20,0
12,1990,Surface/Volume,1,22,0
13,1990,Surface/Volume,1,24,0
14,1990,Surface/Volume,1,26,0
15,1990,Surface/Volume,1,28,0
16,1990,Surface/Volume,1,30,0
17,1990,Surface/Volume,1,32,0
18,1990,Surface/Volume,1,34,0
19,1990,Surface/Volume,1,36,0
20,1990,Surface/Volume,1,38,0
21,1990,Surface/Volume,1,40,0
22,1990,Surface/Volume,1,42,0
23,1990,Surface/Volume,1,44,0
24,1990,Surface/Volume,1,46,0
25,1990,Surface/Volume,1,48,0
26,1990,Surface/Volume,1,50,0
27,1990,Surface/Volume,1,52,0
28,1990,Surface/Volume,1,54,0
29,1990,Surface/Volume,1,56,0
30,1990,Surface/Volume,1,58,0
31,1990,Surface/Volume,1,60,0
32,1990,Surface/Volume,1,62,0
33,1990,Surface/Volume,1,64,0
34,1990,Surface/Volume,1,0,1
35,1990,Surface/Volume,1,2,1
36,1990,Surface/Volume,1,4,1
37,1990,Surface/Volume,1,6,1
38,1990,Surface/Volume,1,8,1
39,1990,Surface/Volume,1,10,1
40,1990,Surface/Volume,1,12,1
41,1990,Surface/Volume,1,14,1
42,1990,Surface/Volume,1,16,1
43,1990,Surface/Volume,1,18,1
44,1990,Surface/Volume,1,20,1
45,1990,Surface/Volume,1,22,1
46,1990,Surface/Volume,1,24,1
47,1990,Surface/Volume,1,26,1
48,1990,Surface/Volume,1,28,1
49,1990,Surface/Volume,1,30,1
50,1990,Surface/Volume,1,32,1
51,1990,Surface/Volume,1,34,1
52,1990,Surface/Volume,1,36,1
53,1990,Surface/Volume,1,38,1
54,1990,Surface/Volume,1,40,1
55,1990,Surface/Volume,1,42,1
56,1990,Surface/Volume,1,44,1
57,1990,Surface/Volume,1,46,1
58,1990,Surface/Volume,1,48,1
59,1990,Surface/Volume,1,50,1
60,1990,Surface/Volume,1,52,1
61,1990,Surface/Volume,1,54,1
62,1990,Surface/Volume,1,56,1
63,1990,Surface/Volume,1,58,1
64,1990,Surface/Volume,1,60,1
65,1990,Surface/Volume,1,62,1
66,1990,Surface/Volume,1,64,1
67,1990,Surface/Volume,1,0,2
68,1995,Surface/Volume,1,2,2
69,1995,Surface/Volume,1,4,2
