username,Value
P1,261.4939511995079
P10,267.4081768445956
P11,245.07152653233464
P2,272.57967066980314
P3,269.5310489301212
P4,271.20222189950624
P5,240.89535251343662
P6,301.5084583466326
P7,135.16804320203303
P8,211.34799713876967
P9,208.74847846441946
