,Year,coder1-encodings,Consistency,X,Y
0,1990,Surface/Volume,1,0,0
1,1990,Surface/Volume,1,0,0
2,1990,Surface/Volume,1,1,0
3,1990,Surface/Volume,1,2,0
4,1990,Surface/Volume,1,3,0
5,1990,Surface/Volume,1,4,0
6,1990,Surface/Volume,1,5,0
7,1990,Surface/Volume,1,6,0
8,1990,Surface/Volume,1,7,0
9,1990,Surface/Volume,1,8,0
10,1990,Surface/Volume,1,9,0
11,1990,Surface/Volume,1,10,0
12,1990,Surface/Volume,1,11,0
13,1990,Surface/Volume,1,12,0
14,1990,Surface/Volume,1,13,0
15,1990,Surface/Volume,1,14,0
16,1990,Surface/Volume,1,15,0
17,1990,Surface/Volume,1,16,0
18,1990,Surface/Volume,1,17,0
19,1990,Surface/Volume,1,18,0
20,1990,Surface/Volume,1,19,0
21,1990,Surface/Volume,1,20,0
22,1990,Surface/Volume,1,21,0
23,1990,Surface/Volume,1,22,0
24,1990,Surface/Volume,1,23,0
25,1990,Surface/Volume,1,24,0
26,1990,Surface/Volume,1,25,0
27,1990,Surface/Volume,1,26,0
28,1990,Surface/Volume,1,27,0
29,1990,Surface/Volume,1,28,0
30,1990,Surface/Volume,1,29,0
31,1990,Surface/Volume,1,30,0
32,1990,Surface/Volume,1,31,0
33,1990,Surface/Volume,1,32,0
34,1990,Surface/Volume,1,33,0
35,1990,Surface/Volume,1,34,0
36,1990,Surface/Volume,1,35,0
37,1990,Surface/Volume,1,36,0
38,1990,Surface/Volume,1,37,0
39,1990,Surface/Volume,1,38,0
40,1990,Surface/Volume,1,39,0
41,1990,Surface/Volume,1,40,0
42,1990,Surface/Volume,1,41,0
43,1990,Surface/Volume,1,42,0
44,1990,Surface/Volume,1,43,0
45,1990,Surface/Volume,1,44,0
46,1990,Surface/Volume,1,45,0
47,1990,Surface/Volume,1,46,0
48,1990,Surface/Volume,1,47,0
49,1990,Surface/Volume,1,48,0
50,1990,Surface/Volume,1,49,0
51,1990,Surface/Volume,1,50,0
52,1990,Surface/Volume,1,51,0
53,1990,Surface/Volume,1,52,0
54,1990,Surface/Volume,1,53,0
55,1990,Surface/Volume,1,54,0
56,1990,Surface/Volume,1,55,0
57,1990,Surface/Volume,1,56,0
58,1990,Surface/Volume,1,57,0
59,1990,Surface/Volume,1,58,0
60,1990,Surface/Volume,1,59,0
61,1990,Surface/Volume,1,60,0
62,1990,Surface/Volume,1,61,0
63,1990,Surface/Volume,1,62,0
64,1990,Surface/Volume,1,63,0
65,1990,Surface/Volume,1,64,0
66,1990,Surface/Volume,1,65,0
67,1990,Surface/Volume,1,0,1
68,1995,Surface/Volume,1,1,1
69,1995,Surface/Volume,1,2,1
