,Year,coder1-encodings,Consistency,X,Y
0,1990,Surface/Volume,1,0.0,0.0
1,1990,Surface/Volume,1,0.0,0.0
2,1990,Surface/Volume,1,1.5,0.0
3,1990,Surface/Volume,1,3.0,0.0
4,1990,Surface/Volume,1,4.5,0.0
5,1990,Surface/Volume,1,6.0,0.0
6,1990,Surface/Volume,1,7.5,0.0
7,1990,Surface/Volume,1,9.0,0.0
8,1990,Surface/Volume,1,10.5,0.0
9,1990,Surface/Volume,1,12.0,0.0
10,1990,Surface/Volume,1,13.5,0.0
11,1990,Surface/Volume,1,15.0,0.0
12,1990,Surface/Volume,1,16.5,0.0
13,1990,Surface/Volume,1,18.0,0.0
14,1990,Surface/Volume,1,19.5,0.0
15,1990,Surface/Volume,1,21.0,0.0
16,1990,Surface/Volume,1,22.5,0.0
17,1990,Surface/Volume,1,24.0,0.0
18,1990,Surface/Volume,1,25.5,0.0
19,1990,Surface/Volume,1,27.0,0.0
20,1990,Surface/Volume,1,28.5,0.0
21,1990,Surface/Volume,1,30.0,0.0
22,1990,Surface/Volume,1,31.5,0.0
23,1990,Surface/Volume,1,33.0,0.0
24,1990,Surface/Volume,1,34.5,0.0
25,1990,Surface/Volume,1,36.0,0.0
26,1990,Surface/Volume,1,37.5,0.0
27,1990,Surface/Volume,1,39.0,0.0
28,1990,Surface/Volume,1,40.5,0.0
29,1990,Surface/Volume,1,42.0,0.0
30,1990,Surface/Volume,1,43.5,0.0
31,1990,Surface/Volume,1,45.0,0.0
32,1990,Surface/Volume,1,46.5,0.0
33,1990,Surface/Volume,1,48.0,0.0
34,1990,Surface/Volume,1,49.5,0.0
35,1990,Surface/Volume,1,51.0,0.0
36,1990,Surface/Volume,1,52.5,0.0
37,1990,Surface/Volume,1,54.0,0.0
38,1990,Surface/Volume,1,55.5,0.0
39,1990,Surface/Volume,1,57.0,0.0
40,1990,Surface/Volume,1,58.5,0.0
41,1990,Surface/Volume,1,60.0,0.0
42,1990,Surface/Volume,1,61.5,0.0
43,1990,Surface/Volume,1,63.0,0.0
44,1990,Surface/Volume,1,64.5,0.0
45,1990,Surface/Volume,1,0.0,1.0
46,1990,Surface/Volume,1,1.5,1.0
47,1990,Surface/Volume,1,3.0,1.0
48,1990,Surface/Volume,1,4.5,1.0
49,1990,Surface/Volume,1,6.0,1.0
50,1990,Surface/Volume,1,7.5,1.0
51,1990,Surface/Volume,1,9.0,1.0
52,1990,Surface/Volume,1,10.5,1.0
53,1990,Surface/Volume,1,12.0,1.0
54,1990,Surface/Volume,1,13.5,1.0
55,1990,Surface/Volume,1,15.0,1.0
56,1990,Surface/Volume,1,16.5,1.0
57,1990,Surface/Volume,1,18.0,1.0
58,1990,Surface/Volume,1,19.5,1.0
59,1990,Surface/Volume,1,21.0,1.0
60,1990,Surface/Volume,1,22.5,1.0
61,1990,Surface/Volume,1,24.0,1.0
62,1990,Surface/Volume,1,25.5,1.0
63,1990,Surface/Volume,1,27.0,1.0
64,1990,Surface/Volume,1,28.5,1.0
65,1990,Surface/Volume,1,30.0,1.0
66,1990,Surface/Volume,1,31.5,1.0
67,1990,Surface/Volume,1,33.0,1.0
68,1995,Surface/Volume,1,34.5,1.0
69,1995,Surface/Volume,1,36.0,1.0
70,1995,Surface/Volume,1,37.5,1.0
71,1995,Surface/Volume,1,39.0,1.0
72,1995,Surface/Volume,1,40.5,1.0
73,1995,Surface/Volume,1,42.0,1.0
74,1995,Surface/Volume,1,43.5,1.0
75,1995,Surface/Volume,1,45.0,1.0
76,1995,Surface/Volume,1,46.5,1.0
77,1995,Surface/Volume,1,48.0,1.0
78,1995,Surface/Volume,1,49.5,1.0
79,1995,Surface/Volume,1,51.0,1.0
80,1995,Surface/Volume,1,52.5,1.0
81,1995,Surface/Volume,1,54.0,1.0
82,1995,Surface/Volume,1,55.5,1.0
83,1995,Surface/Volume,1,57.0,1.0
84,1995,Surface/Volume,1,58.5,1.0
85,1995,Surface/Volume,1,60.0,1.0
86,1995,Surface/Volume,1,61.5,1.0
87,1995,Surface/Volume,1,63.0,1.0
88,1995,Surface/Volume,1,64.5,1.0
89,1995,Surface/Volume,1,0.0,2.0
90,1995,Surface/Volume,1,1.5,2.0
91,1995,Surface/Volume,1,3.0,2.0
92,1995,Surface/Volume,1,4.5,2.0
93,1995,Surface/Volume,1,6.0,2.0
94,1995,Surface/Volume,1,7.5,2.0
95,1995,Surface/Volume,1,9.0,2.0
96,1995,Surface/Volume,1,10.5,2.0
97,1995,Surface/Volume,1,12.0,2.0
98,1995,Surface/Volume,1,13.5,2.0
99,1995,Surface/Volume,1,15.0,2.0
100,1995,Surface/Volume,1,16.5,2.0
101,1995,Surface/Volume,1,18.0,2.0
102,1995,Surface/Volume,1,19.5,2.0
103,1995,Surface/Volume,1,21.0,2.0
104,1995,Surface/Volume,1,22.5,2.0
105,1995,Surface/Volume,1,24.0,2.0
106,1995,Surface/Volume,1,25.5,2.0
107,1995,Surface/Volume,1,27.0,2.0
108,1995,Surface/Volume,1,28.5,2.0
109,1995,Surface/Volume,1,30.0,2.0
110,1995,Surface/Volume,1,31.5,2.0
111,1995,Surface/Volume,1,33.0,2.0
112,1995,Surface/Volume,1,34.5,2.0
113,1995,Surface/Volume,1,36.0,2.0
114,1995,Surface/Volume,1,37.5,2.0
115,1995,Surface/Volume,1,39.0,2.0
116,1995,Surface/Volume,1,40.5,2.0
117,1995,Surface/Volume,1,42.0,2.0
118,1995,Surface/Volume,1,43.5,2.0
119,1995,Surface/Volume,1,45.0,2.0
120,1995,Surface/Volume,1,46.5,2.0
121,1995,Surface/Volume,1,48.0,2.0
122,1995,Surface/Volume,1,49.5,2.0
123,1995,Surface/Volume,1,51.0,2.0
124,1995,Surface/Volume,1,52.5,2.0
125,1995,Surface/Volume,1,54.0,2.0
126,1995,Surface/Volume,1,55.5,2.0
127,1995,Surface/Volume,1,57.0,2.0
128,1995,Surface/Volume,1,58.5,2.0
129,1995,Surface/Volume,1,60.0,2.0
130,1995,Surface/Volume,1,61.5,2.0
131,1995,Surface/Volume,1,63.0,2.0
132,1995,Surface/Volume,1,64.5,2.0
133,1995,Surface/Volume,1,0.0,3.0
134,1995,Surface/Volume,1,1.5,3.0
135,1995,Surface/Volume,1,3.0,3.0
136,1995,Surface/Volume,1,4.5,3.0
137,1995,Surface/Volume,1,6.0,3.0
138,1995,Surface/Volume,1,7.5,3.0
139,1995,Surface/Volume,1,9.0,3.0
140,1995,Surface/Volume,1,10.5,3.0
141,1995,Surface/Volume,1,12.0,3.0
142,2000,Surface/Volume,1,13.5,3.0
143,2000,Surface/Volume,1,15.0,3.0
144,2000,Surface/Volume,1,16.5,3.0
145,2000,Surface/Volume,1,18.0,3.0
146,2000,Surface/Volume,1,19.5,3.0
147,2000,Surface/Volume,1,21.0,3.0
148,2000,Surface/Volume,1,22.5,3.0
149,2000,Surface/Volume,1,24.0,3.0
150,2000,Surface/Volume,1,25.5,3.0
151,2000,Surface/Volume,1,27.0,3.0
152,2000,Surface/Volume,1,28.5,3.0
153,2000,Surface/Volume,1,30.0,3.0
