,Year,coder1-encodings,Consistency,X,Y
0,1990,Area,1,0,0
1,1990,Area,1,0,0
2,1995,Area,1,1,0
3,1995,Area,1,2,0
4,2000,Area,0,3,0
5,2000,Area,0,4,0
6,2000,Area,0,5,0
7,2000,Area,1,6,0
8,2000,Area,1,7,0
9,2000,Area,1,8,0
10,2000,Area,1,9,0
11,2000,Area,1,10,0
12,2005,Area,0,11,0
13,2005,Area,0,12,0
14,2005,Area,0,13,0
15,2005,Area,0,14,0
16,2005,Area,0,15,0
17,2005,Area,0,16,0
18,2005,Area,0,17,0
19,2005,Area,0,18,0
20,2005,Area,0,19,0
21,2005,Area,0,20,0
22,2005,Area,0,21,0
23,2005,Area,0,22,0
24,2005,Area,0,23,0
25,2005,Area,0,24,0
26,2005,Area,0,0,1
27,2005,Area,1,1,1
28,2005,Area,1,2,1
29,2005,Area,1,3,1
30,2005,Area,1,4,1
31,2005,Area,1,5,1
32,2005,Area,1,6,1
33,2005,Area,1,7,1
34,2005,Area,1,8,1
35,2005,Area,1,9,1
36,2005,Area,1,10,1
37,2005,Area,1,11,1
38,2005,Area,1,12,1
39,2005,Area,1,13,1
40,2005,Area,1,14,1
41,2005,Area,1,15,1
42,2010,Area,1,16,1
43,2010,Area,1,17,1
44,2010,Area,1,18,1
45,2010,Area,1,19,1
46,2010,Area,1,20,1
47,2010,Area,1,21,1
48,2010,Area,1,22,1
49,2010,Area,1,23,1
50,2010,Area,1,24,1
51,2010,Area,1,0,2
52,2010,Area,1,1,2
53,2010,Area,1,2,2
54,2010,Area,1,3,2
55,2010,Area,1,4,2
56,2015,Area,0,5,2
57,2015,Area,0,6,2
58,2015,Area,0,7,2
59,2015,Area,0,8,2
60,2015,Area,0,9,2
61,2015,Area,0,10,2
62,2015,Area,0,11,2
63,2015,Area,1,12,2
64,2015,Area,1,13,2
65,2015,Area,1,14,2
66,2015,Area,1,15,2
67,2015,Area,1,16,2
68,2015,Area,1,17,2
69,2015,Area,1,18,2
70,2015,Area,1,19,2
71,2015,Area,1,20,2
72,2015,Area,1,21,2
73,2015,Area,1,22,2
74,2015,Area,1,23,2
75,2015,Area,1,24,2
76,2015,Area,1,0,3
77,2015,Area,1,1,3
78,2015,Area,1,2,3
79,2015,Area,1,3,3
80,2015,Area,1,4,3
81,2020,Area,0,5,3
82,2020,Area,0,6,3
83,2020,Area,0,7,3
84,2020,Area,1,8,3
85,2020,Area,1,9,3
86,2020,Area,1,10,3
87,2020,Area,1,11,3
88,2020,Area,1,12,3
89,2020,Area,1,13,3
90,2020,Area,1,14,3
91,2020,Area,1,15,3
92,2020,Area,1,16,3
93,2020,Area,1,17,3
94,2020,Area,1,18,3
95,2020,Area,1,19,3
96,2020,Area,1,20,3
97,2020,Area,1,21,3
98,2020,Area,1,22,3
99,2020,Area,1,23,3
100,2020,Area,1,24,3
101,2020,Area,1,0,4
102,2020,Area,1,1,4
103,2020,Area,1,2,4
104,1990,Bar,1,74,0
105,1995,Bar,0,75,0
106,1995,Bar,1,76,0
107,1995,Bar,1,77,0
108,1995,Bar,1,78,0
109,1995,Bar,1,79,0
110,1995,Bar,1,80,0
111,1995,Bar,1,81,0
112,1995,Bar,1,82,0
113,1995,Bar,1,83,0
114,2000,Bar,0,84,0
115,2000,Bar,1,85,0
116,2000,Bar,1,86,0
117,2000,Bar,1,87,0
118,2000,Bar,1,88,0
119,2000,Bar,1,89,0
120,2000,Bar,1,90,0
121,2000,Bar,1,91,0
122,2000,Bar,1,92,0
123,2000,Bar,1,93,0
124,2000,Bar,1,94,0
125,2000,Bar,1,95,0
126,2005,Bar,0,96,0
127,2005,Bar,0,97,0
128,2005,Bar,0,98,0
129,2005,Bar,0,74,1
130,2005,Bar,1,75,1
131,2005,Bar,1,76,1
132,2005,Bar,1,77,1
133,2005,Bar,1,78,1
134,2005,Bar,1,79,1
135,2005,Bar,1,80,1
136,2005,Bar,1,81,1
137,2005,Bar,1,82,1
138,2005,Bar,1,83,1
139,2005,Bar,1,84,1
140,2005,Bar,1,85,1
141,2005,Bar,1,86,1
142,2005,Bar,1,87,1
143,2005,Bar,1,88,1
144,2005,Bar,1,89,1
145,2005,Bar,1,90,1
146,2005,Bar,1,91,1
147,2005,Bar,1,92,1
148,2005,Bar,1,93,1
149,2005,Bar,1,94,1
150,2005,Bar,1,95,1
151,2005,Bar,1,96,1
152,2005,Bar,1,97,1
153,2005,Bar,1,98,1
154,2010,Bar,0,74,2
155,2010,Bar,1,75,2
156,2010,Bar,1,76,2
157,2010,Bar,1,77,2
158,2010,Bar,1,78,2
159,2010,Bar,1,79,2
160,2010,Bar,1,80,2
161,2010,Bar,1,81,2
162,2010,Bar,1,82,2
163,2010,Bar,1,83,2
164,2010,Bar,1,84,2
165,2010,Bar,1,85,2
166,2010,Bar,1,86,2
167,2010,Bar,1,87,2
168,2010,Bar,1,88,2
169,2010,Bar,1,89,2
170,2010,Bar,1,90,2
171,2010,Bar,1,91,2
172,2010,Bar,1,92,2
173,2010,Bar,1,93,2
174,2010,Bar,1,94,2
175,2010,Bar,1,95,2
176,2010,Bar,1,96,2
177,2010,Bar,1,97,2
178,2010,Bar,1,98,2
179,2010,Bar,1,74,3
180,2010,Bar,1,75,3
181,2010,Bar,1,76,3
182,2010,Bar,1,77,3
183,2010,Bar,1,78,3
184,2010,Bar,1,79,3
185,2010,Bar,1,80,3
186,2010,Bar,1,81,3
187,2010,Bar,1,82,3
188,2010,Bar,1,83,3
189,2010,Bar,1,84,3
190,2010,Bar,1,85,3
191,2010,Bar,1,86,3
192,2010,Bar,1,87,3
193,2010,Bar,1,88,3
194,2010,Bar,1,89,3
195,2010,Bar,1,90,3
196,2010,Bar,1,91,3
197,2010,Bar,1,92,3
198,2010,Bar,1,93,3
199,2010,Bar,1,94,3
200,2010,Bar,1,95,3
201,2010,Bar,1,96,3
202,2015,Bar,0,97,3
203,2015,Bar,0,98,3
204,2015,Bar,0,74,4
205,2015,Bar,0,75,4
206,2015,Bar,1,76,4
207,2015,Bar,1,77,4
208,2015,Bar,1,78,4
209,2015,Bar,1,79,4
210,2015,Bar,1,80,4
211,2015,Bar,1,81,4
212,2015,Bar,1,82,4
213,2015,Bar,1,83,4
214,2015,Bar,1,84,4
215,2015,Bar,1,85,4
216,2015,Bar,1,86,4
217,2015,Bar,1,87,4
