,Year,coder1-encodings,Consistency,X,Y
0,1990,Area,1,0,0
1,1990,Area,1,0,0
2,1995,Area,1,1,0
3,1995,Area,1,2,0
4,2000,Area,0,3,0
5,2000,Area,0,4,0
6,2000,Area,0,5,0
7,2000,Area,1,6,0
8,2000,Area,1,7,0
9,2000,Area,1,8,0
10,2000,Area,1,9,0
11,2000,Area,1,10,0
12,2005,Area,0,11,0
13,2005,Area,0,12,0
14,2005,Area,0,13,0
15,2005,Area,0,14,0
16,2005,Area,0,15,0
17,2005,Area,0,16,0
18,2005,Area,0,17,0
19,2005,Area,0,18,0
20,2005,Area,0,19,0
21,2005,Area,0,20,0
22,2005,Area,0,21,0
23,2005,Area,0,22,0
24,2005,Area,0,23,0
25,2005,Area,0,24,0
26,2005,Area,0,25,0
27,2005,Area,1,26,0
28,2005,Area,1,27,0
29,2005,Area,1,28,0
30,2005,Area,1,29,0
31,2005,Area,1,30,0
32,2005,Area,1,31,0
33,2005,Area,1,32,0
34,2005,Area,1,33,0
35,2005,Area,1,34,0
36,2005,Area,1,35,0
37,2005,Area,1,36,0
38,2005,Area,1,37,0
39,2005,Area,1,38,0
40,2005,Area,1,39,0
41,2005,Area,1,40,0
42,2010,Area,1,41,0
43,2010,Area,1,42,0
44,2010,Area,1,43,0
45,2010,Area,1,44,0
46,2010,Area,1,45,0
47,2010,Area,1,46,0
48,2010,Area,1,47,0
49,2010,Area,1,48,0
50,2010,Area,1,49,0
51,2010,Area,1,0,1
52,2010,Area,1,1,1
53,2010,Area,1,2,1
54,2010,Area,1,3,1
55,2010,Area,1,4,1
56,2015,Area,0,5,1
57,2015,Area,0,6,1
58,2015,Area,0,7,1
59,2015,Area,0,8,1
60,2015,Area,0,9,1
61,2015,Area,0,10,1
62,2015,Area,0,11,1
63,2015,Area,1,12,1
64,2015,Area,1,13,1
65,2015,Area,1,14,1
66,2015,Area,1,15,1
67,2015,Area,1,16,1
68,2015,Area,1,17,1
69,2015,Area,1,18,1
70,2015,Area,1,19,1
71,2015,Area,1,20,1
72,2015,Area,1,21,1
73,2015,Area,1,22,1
74,2015,Area,1,23,1
75,2015,Area,1,24,1
76,2015,Area,1,25,1
77,2015,Area,1,26,1
78,2015,Area,1,27,1
79,2015,Area,1,28,1
80,2015,Area,1,29,1
81,2020,Area,0,30,1
82,2020,Area,0,31,1
83,2020,Area,0,32,1
84,2020,Area,1,33,1
85,2020,Area,1,34,1
86,2020,Area,1,35,1
87,2020,Area,1,36,1
88,2020,Area,1,37,1
89,2020,Area,1,38,1
90,2020,Area,1,39,1
91,2020,Area,1,40,1
92,2020,Area,1,41,1
93,2020,Area,1,42,1
94,2020,Area,1,43,1
95,2020,Area,1,44,1
96,2020,Area,1,45,1
97,2020,Area,1,46,1
98,2020,Area,1,47,1
99,2020,Area,1,48,1
100,2020,Area,1,49,1
101,2020,Area,1,0,2
102,2020,Area,1,1,2
103,2020,Area,1,2,2
104,1990,Bar,1,99,0
105,1995,Bar,0,100,0
106,1995,Bar,1,101,0
107,1995,Bar,1,102,0
108,1995,Bar,1,103,0
109,1995,Bar,1,104,0
110,1995,Bar,1,105,0
111,1995,Bar,1,106,0
112,1995,Bar,1,107,0
113,1995,Bar,1,108,0
114,2000,Bar,0,109,0
115,2000,Bar,1,110,0
116,2000,Bar,1,111,0
117,2000,Bar,1,112,0
118,2000,Bar,1,113,0
119,2000,Bar,1,114,0
120,2000,Bar,1,115,0
121,2000,Bar,1,116,0
122,2000,Bar,1,117,0
123,2000,Bar,1,118,0
124,2000,Bar,1,119,0
125,2000,Bar,1,120,0
126,2005,Bar,0,121,0
127,2005,Bar,0,122,0
128,2005,Bar,0,123,0
129,2005,Bar,0,124,0
130,2005,Bar,1,125,0
131,2005,Bar,1,126,0
132,2005,Bar,1,127,0
133,2005,Bar,1,128,0
134,2005,Bar,1,129,0
135,2005,Bar,1,130,0
136,2005,Bar,1,131,0
137,2005,Bar,1,132,0
138,2005,Bar,1,133,0
139,2005,Bar,1,134,0
140,2005,Bar,1,135,0
141,2005,Bar,1,136,0
142,2005,Bar,1,137,0
143,2005,Bar,1,138,0
144,2005,Bar,1,139,0
145,2005,Bar,1,140,0
146,2005,Bar,1,141,0
147,2005,Bar,1,142,0
148,2005,Bar,1,143,0
149,2005,Bar,1,144,0
150,2005,Bar,1,145,0
151,2005,Bar,1,146,0
152,2005,Bar,1,147,0
153,2005,Bar,1,148,0
154,2010,Bar,0,99,1
155,2010,Bar,1,100,1
156,2010,Bar,1,101,1
157,2010,Bar,1,102,1
158,2010,Bar,1,103,1
159,2010,Bar,1,104,1
160,2010,Bar,1,105,1
161,2010,Bar,1,106,1
162,2010,Bar,1,107,1
163,2010,Bar,1,108,1
164,2010,Bar,1,109,1
165,2010,Bar,1,110,1
166,2010,Bar,1,111,1
167,2010,Bar,1,112,1
168,2010,Bar,1,113,1
169,2010,Bar,1,114,1
170,2010,Bar,1,115,1
171,2010,Bar,1,116,1
172,2010,Bar,1,117,1
173,2010,Bar,1,118,1
174,2010,Bar,1,119,1
175,2010,Bar,1,120,1
176,2010,Bar,1,121,1
177,2010,Bar,1,122,1
178,2010,Bar,1,123,1
179,2010,Bar,1,124,1
180,2010,Bar,1,125,1
181,2010,Bar,1,126,1
182,2010,Bar,1,127,1
183,2010,Bar,1,128,1
184,2010,Bar,1,129,1
185,2010,Bar,1,130,1
186,2010,Bar,1,131,1
187,2010,Bar,1,132,1
188,2010,Bar,1,133,1
189,2010,Bar,1,134,1
190,2010,Bar,1,135,1
191,2010,Bar,1,136,1
192,2010,Bar,1,137,1
193,2010,Bar,1,138,1
194,2010,Bar,1,139,1
195,2010,Bar,1,140,1
196,2010,Bar,1,141,1
197,2010,Bar,1,142,1
198,2010,Bar,1,143,1
199,2010,Bar,1,144,1
200,2010,Bar,1,145,1
201,2010,Bar,1,146,1
202,2015,Bar,0,147,1
203,2015,Bar,0,148,1
204,2015,Bar,0,99,2
205,2015,Bar,0,100,2
206,2015,Bar,1,101,2
207,2015,Bar,1,102,2
208,2015,Bar,1,103,2
209,2015,Bar,1,104,2
210,2015,Bar,1,105,2
211,2015,Bar,1,106,2
212,2015,Bar,1,107,2
213,2015,Bar,1,108,2
214,2015,Bar,1,109,2
215,2015,Bar,1,110,2
216,2015,Bar,1,111,2
217,2015,Bar,1,112,2
